ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-31,62412.07386378622,33435.39865866688,52028.91673143591,62406.279013300395,62419.42008711086,-19469.15169012765,-19469.15169012765,-19469.15169012765,-19469.15169012765,-19469.15169012765,-19469.15169012765,0.0,0.0,0.0,42942.922173658575
2019-02-28,63109.71001054825,22185.797705171142,40354.33448564633,63086.99887708515,63135.01483943336,-31824.980792766582,-31824.980792766582,-31824.980792766582,-31824.980792766582,-31824.980792766582,-31824.980792766582,0.0,0.0,0.0,31284.72921778167
2019-03-31,63882.0928873205,72401.51745710798,90754.65668740198,63833.77821649989,63933.86540792444,17734.747050059745,17734.747050059745,17734.747050059745,17734.747050059745,17734.747050059745,17734.747050059745,0.0,0.0,0.0,81616.83993738024
